1	AAPL	$3.909T	$258.64	0.17%
2	NVDA	$3.408T	$139.19	0.73%
3	MSFT	$3.259T	$438.45	0.20%
4	GOOG	$2.400T	$196.88	0.35%
5	AMZN	$2.397T	$228.02	0.45%
6	2222.SR	$1.804T	$7.46	0.36%
7	META	$1.521T	$602.50	0.86%
8	TSLA	$1.472T	$458.73	0.77%
9	AVGO	$1.125T	$240.10	0.18%
10	TSM	$1.067T	$205.75	0.28%
11	BRK-B	$989.04B	$458.80	0.03%
12	WMT	$743.40B	$92.54	0.15%
13	LLY	$713.15B	$793.00	0.34%
14	JPM	$681.53B	$242.08	0.09%
15	V	$620.92B	$320.65	0.00%
16	TCEHY	$497.99B	$54.40	0.61%
17	MA	$491.44B	$535.44	0.05%
18	ORCL	$479.11B	$171.30	0.06%
19	UNH	$469.85B	$510.55	0.88%
20	XOM	$469.21B	$106.76	0.34%
21	COST	$424.98B	$957.40	0.15%
22	PG	$399.07B	$169.46	0.30%
23	NFLX	$395.30B	$924.77	0.79%
24	HD	$390.56B	$393.17	0.75%
25	JNJ	$351.84B	$146.14	0.20%
26	BAC	$339.90B	$44.30	0.18%
27	CRM	$327.79B	$342.52	0.55%
28	MC.PA	$327.72B	$656.26	0.25%
29	ABBV	$318.19B	$180.06	0.03%
30	1398.HK	$313.48B	$0.66	1.38%
31	SAP	$295.42B	$253.26	0.15%
32	NVO	$294.19B	$87.39	0.02%
33	ASML	$281.48B	$715.89	0.53%
34	KO	$269.83B	$62.64	0.32%
35	TM	$266.11B	$195.37	7.68%
36	600519.SS	$262.98B	$209.35	0.14%
37	TMUS	$259.78B	$223.86	0.38%
38	CVX	$256.64B	$143.94	0.07%
39	MRK	$251.61B	$99.46	0.02%
40	RMS.PA	$250.63B	$2,391	0.17%
41	601288.SS	$249.18B	$0.73	0.19%
42	005930.KS	$243.39B	$36.60	1.47%
43	IHC.AE	$240.09B	$109.45	0.02%
44	WFC	$237.84B	$71.44	0.22%
45	CSCO	$237.69B	$59.68	0.28%
46	NOW	$226.51B	$1,098	0.70%
47	ACN	$225.93B	$361.22	0.11%
48	ROG.SW	$223.93B	$279.03	1.46%
49	0857.HK	$215.88B	$0.78	2.55%
50	0941.HK	$215.77B	$9.79	0.40%
51	AXP	$213.11B	$302.54	0.30%
52	NESN.SW	$211.75B	$82.35	0.14%
53	MCD	$210.94B	$294.36	0.13%
54	601939.SS	$210.69B	$1.21	0.56%
55	PEP	$209.81B	$152.93	0.08%
56	BABA	$207.03B	$86.50	1.15%
57	IBM	$206.87B	$223.73	0.30%
58	AZN	$206.23B	$66.52	0.32%
59	MS	$204.79B	$127.12	0.05%
60	DIS	$204.61B	$112.99	0.38%
61	AMD	$204.34B	$125.92	0.29%
62	LIN	$202.82B	$425.97	0.05%
63	601988.SS	$201.38B	$0.75	0.18%
64	TMO	$200.98B	$525.44	0.67%
65	ABT	$199.80B	$115.20	0.38%
66	ADBE	$197.86B	$449.50	0.35%
67	NVS	$196.85B	$98.46	0.12%
68	RELIANCE.NS	$193.14B	$14.27	0.51%
69	ISRG	$191.02B	$536.32	0.13%
70	PM	$189.37B	$121.80	0.19%
71	OR.PA	$188.91B	$353.57	0.53%
72	SHEL	$187.34B	$61.62	0.29%
73	PLTR	$186.43B	$81.84	0.66%
74	GE	$184.88B	$170.82	0.39%
75	GS	$181.91B	$579.50	0.56%
76	INTU	$180.38B	$644.44	0.13%
77	TCS.NS	$176.96B	$48.91	0.25%
78	HSBC	$176.84B	$49.32	0.15%
79	PRX.AS	$176.83B	$40.47	0.98%
80	CAT	$176.37B	$365.32	0.61%
81	QCOM	$175.89B	$158.32	0.65%
82	TXN	$175.07B	$191.92	0.27%
83	RY	$171.17B	$120.98	0.19%
84	BKNG	$168.77B	$5,099	0.46%
85	VZ	$168.61B	$40.06	0.64%
86	DHR	$166.38B	$230.36	0.17%
87	HDB	$165.25B	$64.82	0.56%
88	T	$164.74B	$22.96	0.04%
89	BLK	$163.33B	$1,055	0.02%
90	CBA.AX	$161.63B	$96.67	0.28%
91	IDEXY	$160.37B	$25.71	0.04%
92	300750.SZ	$157.63B	$35.80	2.51%
93	SPGI	$156.47B	$504.27	0.10%
94	RTX	$155.86B	$117.10	0.23%
95	SIE.DE	$153.98B	$196.61	0.15%
96	PFE	$151.13B	$26.67	0.26%
97	HON	$149.47B	$229.88	0.43%
98	DTE.DE	$149.32B	$29.99	0.31%
99	NEE	$149.23B	$72.57	0.47%
100	CMCSA	$146.72B	$38.34	0.14%
